project_id,project_name,original_contract_value,gc_name,est_labor,est_material,est_equip,est_sub,total_budget,actual_labor_cost,actual_material_cost,actual_tracked_cost,co_approved_value,co_rejected_value,adjusted_contract,bid_margin,realized_margin_dollars,realized_margin_pct,labor_overrun_pct,material_overrun_pct,rfi_count,rfi_cost_impact_count,rfi_high_critical,rfi_open,cumulative_billed,pct_billed,budget_coverage,ot_share
PRJ-2019-128,Kansas City High School - New Construction,3238000.0,JE Dunn,1632100.0,712900.0,816700.0,187100.0,3348800.0,2227059.330000049,1454993.81,3682053.140000049,133700.0,56600.0,3371700.0,-0.03421865348980857,-1314153.140000049,-0.3897598066257523,36.45360762208498,104.09507785103101,37,8,16,1,3218200.0,0.9544740042115254,1.0342186534898086,0.05324020178502134
PRJ-2020-205,Atlanta Apartment Complex - MEP,7258000.0,Turner Construction,3754100.0,1665200.0,1752900.0,423900.0,7596100.0,3862304.2500000056,3095056.8999999994,6957361.150000005,565000.0,201000.0,7823000.0,-0.046583080738495486,-1311161.150000006,-0.1676033682730418,2.882295357076403,85.8669769397069,84,15,28,0,7214000.0,0.9221526268694874,1.0465830807384955,0.0533546752034147
PRJ-2021-243,Columbus Middle School - HVAC Systems,3832000.0,Mortenson,2100600.0,945000.0,910800.0,260800.0,4217200.0,2860111.8700000304,1616426.0600000003,4476537.93000003,572300.0,480900.0,4404300.0,-0.10052192066805854,-1243837.9300000304,-0.2824144427037283,36.156901361517214,71.05037671957675,89,17,30,1,3804800.0,0.8638830234089413,1.1005219206680585,0.05028873917228104
PRJ-2019-103,Kansas City Middle School - HVAC Systems,5820000.0,Mortenson,3075500.0,1169900.0,1564500.0,398000.0,6207900.0,3314560.3200000217,2563771.95,5878332.270000022,778100.0,50300.0,6598100.0,-0.06664948453608255,-1242732.270000022,-0.18834698928479743,7.773055438140841,119.14453799470044,83,20,32,3,5777700.0,0.8756611751867962,1.0666494845360825,0.0546984572230014
PRJ-2022-372,Pittsburgh Business Center - MEP Systems,7056000.0,Skanska USA,3201100.0,1356100.0,1736800.0,326200.0,6620200.0,3354134.1300000143,3187487.0200000005,6541621.150000015,314900.0,574500.0,7370900.0,0.06176303854875287,-1233721.1500000153,-0.1673772741456288,4.780673206085861,135.04808052503506,75,19,31,3,7009500.0,0.9509693524535674,0.9382369614512471,0.05337729919109691
PRJ-2023-383,Pittsburgh High School - New Construction,3222000.0,Mortenson,1612700.0,665100.0,742700.0,197100.0,3217600.0,2163944.2800000417,1365564.2700000007,3529508.5500000427,182300.0,-21000.0,3404300.0,0.0013656114214773973,-1065008.5500000427,-0.31284215550922145,34.18145222298268,105.31713576905739,32,5,11,1,3199000.0,0.9396939165173457,0.9986343885785226,0.052719732014675384
PRJ-2021-318,Boston Middle School - HVAC Systems,2373000.0,Mortenson,1141400.0,469100.0,561500.0,108200.0,2280200.0,1889886.7900000366,1025452.9900000001,2915339.7800000366,200700.0,94100.0,2573700.0,0.039106616097766556,-1011339.7800000366,-0.39295169600187924,65.57620378482886,118.60008313792369,37,8,15,2,2358100.0,0.9162295527839297,0.9608933839022334,0.05305039787798409
PRJ-2018-048,Boston Unified School District - HVAC Modernization,6077000.0,DPR Construction,2725800.0,1286200.0,1424000.0,326700.0,5762700.0,3011920.95000002,2870879.389999999,5882800.340000019,545200.0,260400.0,6622200.0,0.051719598486095086,-1011300.3400000194,-0.15271365105252324,10.4967697556688,123.20629684341466,87,19,28,3,6036200.0,0.911509770167014,0.9482804015139049,0.05427107061503417
PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,5485000.0,JE Dunn,2586900.0,1076200.0,1266900.0,280600.0,5210600.0,3387795.7100000135,2391621.7500000005,5779417.460000014,867600.0,174700.0,6352600.0,0.05002734731084779,-974317.4600000139,-0.15337302206970593,30.95967026170372,122.22837297900023,60,18,21,2,5449200.0,0.8577905109718855,0.9499726526891522,0.053824507546687134
PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,2246000.0,Mortenson,853900.0,324700.0,443500.0,125600.0,1747700.0,1821254.7700000338,967652.7100000001,2788907.480000034,200000.0,124000.0,2446000.0,0.22186108637577917,-912007.480000034,-0.3728566966476018,113.28665768825785,198.01438558669543,43,16,18,0,2229100.0,0.9113246116107931,0.7781389136242208,0.05615942028985507
PRJ-2021-269,Indianapolis Edge Data Center - Thermal Management,5968000.0,DPR Construction,2631200.0,1215500.0,1412700.0,320700.0,5580100.0,3508846.750000005,2629142.6,6137989.350000005,1011600.0,123100.0,6979600.0,0.0649966487935657,-891789.3500000052,-0.12777083930311267,33.355379674673344,116.30132455779516,95,27,35,2,5930600.0,0.8497048541463694,0.9350033512064343,0.055659081992938404
PRJ-2019-143,Indianapolis Middle School - HVAC Systems,3114000.0,JE Dunn,1687800.0,727600.0,816600.0,217500.0,3449500.0,1822418.3800000339,1392629.6800000004,3215048.060000034,246100.0,61500.0,3360100.0,-0.10773924213230579,-889048.060000034,-0.26458976220946817,7.975967531700068,91.40045079714135,47,8,12,1,3091200.0,0.9199726198625041,1.1077392421323058,0.053936411809235425
PRJ-2021-294,Pittsburgh Colocation Facility - HVAC,8748000.0,Mortenson,4036800.0,1624400.0,2067700.0,456300.0,8185200.0,4377291.830000007,3731611.55,8108903.380000006,1019900.0,699500.0,9767900.0,0.06433470507544581,-865003.3800000064,-0.08855571617236115,8.434696541815455,129.722454444718,70,17,19,1,8699000.0,0.8905701327818671,0.9356652949245542,0.05443516622026154
PRJ-2022-366,Columbus Hospital - Mechanical Systems Renovation,8337000.0,JE Dunn,4012300.0,1633000.0,1885900.0,479000.0,8010200.0,4147185.570000058,3625453.43,7772639.000000058,946600.0,350500.0,9283600.0,0.0391987525488785,-853939.0000000577,-0.09198360549787343,3.3618017097439834,122.01184507042254,58,13,23,3,8276800.0,0.8915506915420742,0.9608012474511215,0.05545609725633873
PRJ-2020-185,Baltimore Apartment Complex - MEP,3792000.0,DPR Construction,1968300.0,814800.0,910400.0,231600.0,3925100.0,2055759.3300000427,1587146.709999999,3642906.040000042,188300.0,136900.0,3980300.0,-0.03510021097046412,-804606.040000042,-0.20214708439063436,4.443394299651615,94.78972876779565,49,15,15,0,3767700.0,0.9465869406828631,1.0351002109704641,0.0521892596016472
PRJ-2020-225,Salt Lake City Residential Tower - HVAC Systems,5017000.0,JE Dunn,2636700.0,1062600.0,1169900.0,289200.0,5158400.0,2740009.9100000267,2145317.7199999993,4885327.630000026,574700.0,120200.0,5591700.0,-0.02818417380904914,-752727.630000026,-0.13461516712270435,3.9181518564882944,101.89325428194987,83,15,35,3,4981700.0,0.8909097412235992,1.0281841738090491,0.056466302367941715
PRJ-2021-283,Richmond High School - New Construction,3010000.0,Skanska USA,1507600.0,580700.0,685900.0,153400.0,2927600.0,1929809.3600000348,1240507.0600000005,3170316.4200000353,287300.0,0.0,3297300.0,0.027375415282392068,-712316.4200000353,-0.2160302125981971,28.005396656940484,113.62270707766497,45,11,14,0,2989800.0,0.9067418797197707,0.9726245847176079,0.05231154430832514
PRJ-2018-026,Las Vegas Surgery Center - Climate Control,5488000.0,Turner Construction,2542900.0,1153500.0,1187100.0,283400.0,5166900.0,2971507.950000028,2439333.6899999995,5410841.640000028,700500.0,86700.0,6188500.0,0.0585094752186589,-692841.6400000276,-0.11195631251515353,16.855084745763826,111.47236150845248,57,13,21,1,5453500.0,0.8812313161509251,0.9414905247813411,0.05731891640506918
PRJ-2020-174,Louisville Cloud Campus Phase 1 - Cooling,8026000.0,JE Dunn,3991300.0,1766600.0,2293400.0,539400.0,8590700.0,3444668.810000014,3777847.2100000004,7222516.020000014,1364300.0,66300.0,9390300.0,-0.07035883379018193,-665016.0200000145,-0.0708194647668354,-13.69556760955042,113.84847786708936,85,18,29,6,7974800.0,0.8492593420870472,1.070358833790182,0.053327347101666166
PRJ-2018-018,Las Vegas Unified School District - HVAC Modernization,9820000.0,Turner Construction,5117500.0,2025400.0,2768600.0,628500.0,10540000.0,3007124.1500000227,4582607.300000001,7589731.4500000235,520700.0,555900.0,10340700.0,-0.07331975560081472,-646131.4500000235,-0.06248430473759257,-41.238414264777276,126.25690234027851,66,12,20,1,9759400.0,0.9437852369762202,1.0733197556008147,0.0538881309686221
PRJ-2018-050,Boston Senior Living - HVAC Upgrade,3613000.0,Skanska USA,1862900.0,781600.0,768300.0,193400.0,3606200.0,2095251.5700000445,1529546.66,3624798.230000044,334700.0,76700.0,3947700.0,0.0018820924439524322,-638798.2300000442,-0.16181529244877885,12.47257340705592,95.69430143295803,31,9,10,0,3590700.0,0.909567596321909,0.9981179075560476,0.052089391044280134
PRJ-2018-045,Cincinnati Apartment Complex - MEP,4201000.0,Skanska USA,2146500.0,946600.0,1070100.0,233300.0,4396500.0,1944594.3800000339,1907194.2099999993,3851788.5900000334,367600.0,128900.0,4568600.0,-0.04653653891930487,-586588.5900000334,-0.12839569890120242,-9.40627160493669,101.47836572998092,36,6,14,2,4172700.0,0.9133432561397364,1.0465365389193049,0.05612019443216969
PRJ-2019-132,San Antonio Corporate Campus - HVAC Systems,4919000.0,Turner Construction,2464100.0,1019400.0,1233000.0,267400.0,4983900.0,2076163.4800000458,2243858.46,4320021.940000046,315200.0,50300.0,5234200.0,-0.013193738564748925,-586221.940000046,-0.11199838370716557,-15.743538005760893,120.1156032960565,57,9,20,0,4891200.0,0.9344694509189561,1.013193738564749,0.054183530189146775
PRJ-2019-122,Denver Office Park - Core & Shell MEP,3259000.0,Mortenson,1691900.0,719400.0,861000.0,211300.0,3483600.0,1269708.7700000065,1458037.48,2727746.2500000065,-15900.0,89000.0,3243100.0,-0.06891684565817746,-556946.2500000065,-0.17173267860997396,-24.95367515810588,102.67410063942175,15,5,5,2,3235900.0,0.9977799019456692,1.0689168456581775,0.0500269687162891
PRJ-2022-343,Boston Middle School - HVAC Systems,4342000.0,Skanska USA,2151100.0,921300.0,1178900.0,300900.0,4552200.0,1838012.1200000327,1906652.75,3744664.8700000327,328900.0,46400.0,4670900.0,-0.04841087056655913,-553564.8700000327,-0.11851353486480821,-14.554780344938278,106.95243134700965,53,11,23,3,4310000.0,0.9227343766725898,1.0484108705665591,0.05827702702702703
PRJ-2018-008,Louisville High School - New Construction,6212000.0,Skanska USA,3181700.0,1322200.0,1531300.0,414000.0,6449200.0,3400211.1900000186,2608971.52,6009182.710000019,1265300.0,0.0,7477300.0,-0.038184159690920705,-477182.7100000186,-0.06381751568079636,6.867749630701159,97.32049009227046,81,19,27,3,6167600.0,0.8248431920613055,1.0381841596909207,0.05366617817979686
PRJ-2022-348,Nashville High School - New Construction,3189000.0,Mortenson,1601600.0,666100.0,801500.0,173700.0,3242900.0,1428580.6000000157,1405894.3699999994,2834474.970000015,182900.0,6700.0,3371900.0,-0.016901850109752203,-437774.9700000151,-0.12983035380646374,-10.802909590408616,111.06355952559666,59,11,16,2,3170500.0,0.9402710637919274,1.0169018501097522,0.05145548979345332
PRJ-2018-013,Indianapolis Unified School District - HVAC Modernization,4495000.0,DPR Construction,2325100.0,897500.0,1110300.0,210100.0,4543000.0,2042211.8800000427,1874186.33,3916398.210000043,313800.0,352100.0,4808800.0,-0.010678531701890925,-427998.2100000428,-0.08900312136084737,-12.166707668485543,108.82298941504177,39,11,12,1,4468600.0,0.9292546997171851,1.010678531701891,0.05292878213232195
PRJ-2018-039,Albuquerque Data Center - Precision Cooling Systems,5379000.0,Skanska USA,2647200.0,1052700.0,1378200.0,330000.0,5408100.0,1860961.620000033,2315900.1199999996,4176861.740000033,99200.0,145900.0,5478200.0,-0.005409927495817035,-406861.7400000328,-0.07426923807090519,-29.700754759744907,119.99621164624297,51,10,12,1,5339800.0,0.9747362272279215,1.005409927495817,0.0526071627389126
PRJ-2018-049,San Antonio Data Center - Precision Cooling Systems,4707000.0,Skanska USA,2293300.0,1019800.0,1169000.0,293800.0,4775900.0,1944894.3700000364,2084057.5999999996,4028951.970000036,391700.0,34700.0,5098700.0,-0.014637773528786813,-393051.97000003606,-0.07708866377704827,-15.192326778003906,104.3594430280447,50,13,16,1,4672100.0,0.9163316139408084,1.0146377735287868,0.053177346450412125
PRJ-2018-053,Las Vegas High School - New Construction,3488000.0,Mortenson,1757800.0,744200.0,760100.0,234900.0,3497000.0,1739977.1100000266,1438476.6500000001,3178453.760000027,303500.0,-22600.0,3791500.0,-0.0025802752293577758,-381953.7600000268,-0.10073948569168582,-1.013931619067776,93.29167562483205,44,7,15,1,3464000.0,0.9136225768165633,1.0025802752293578,0.05535678791492745
PRJ-2022-367,Houston Office Park - Core & Shell MEP,6499000.0,JE Dunn,3191200.0,1281400.0,1502100.0,388100.0,6362800.0,3123996.53000002,2725003.0499999993,5848999.580000019,882700.0,233800.0,7381700.0,0.020957070318510573,-357499.5800000187,-0.048430521424606625,-2.1058996615687,112.65826830029648,81,21,26,3,6458700.0,0.8749610523321186,0.9790429296814894,0.05439814814814815
PRJ-2019-153,Indianapolis Middle School - HVAC Systems,4947000.0,DPR Construction,2708000.0,1097200.0,1186200.0,336800.0,5328200.0,2888750.780000025,2179201.95,5067952.730000025,1328800.0,102000.0,6275800.0,-0.07705680210228416,-315152.73000002466,-0.05021714044425008,6.674696454949225,98.6148332118119,89,20,28,2,4912400.0,0.7827527964562286,1.0770568021022842,0.053569307518707684
PRJ-2020-173,Boston Middle School - HVAC Systems,3384000.0,Skanska USA,1699900.0,723600.0,819900.0,165900.0,3409300.0,1611488.1100000213,1456838.97,3068327.0800000215,366100.0,221100.0,3750100.0,-0.007476359338061567,-304027.0800000215,-0.08107172608731007,-5.201005353254818,101.33208540630183,35,7,11,1,3359200.0,0.8957627796592091,1.0074763593380616,0.05407431202484206
PRJ-2020-213,Richmond Middle School - HVAC Systems,3162000.0,Mortenson,1665700.0,776900.0,776100.0,209100.0,3427800.0,1325100.3000000082,1351083.7899999996,2676184.090000008,211900.0,0.0,3373900.0,-0.08406072106261853,-287484.09000000777,-0.08520824268650753,-20.44784174821347,73.90703951602518,52,13,20,0,3140400.0,0.9307922582174931,1.0840607210626185,0.056771994231021375
PRJ-2021-295,Sacramento Apartment Complex - MEP,8337000.0,Mortenson,4330200.0,1799300.0,1867300.0,546600.0,8543400.0,3751148.750000008,3466935.1,7218083.850000008,1012100.0,114400.0,9349100.0,-0.024757106872975942,-282883.85000000894,-0.030257869741473396,-13.372390420765601,92.68243761462791,96,25,34,5,8284000.0,0.8860745954156015,1.024757106872976,0.05094313644499518
PRJ-2022-350,San Antonio Senior Living - HVAC Upgrade,8036000.0,Mortenson,3619100.0,1410100.0,1809200.0,427100.0,7265500.0,3417416.2900000075,3310626.440000001,6728042.730000008,657300.0,604100.0,8693300.0,0.0958810353409657,-271042.7300000079,-0.03117834769305188,-5.572758696913393,134.77955038649748,89,27,32,2,7978100.0,0.917729745896265,0.9041189646590343,0.05018587360594796
PRJ-2020-233,Kansas City Middle School - HVAC Systems,4218000.0,Skanska USA,2097100.0,829500.0,1007800.0,259300.0,4193700.0,1605895.5900000199,1830880.86,3436776.4500000197,276700.0,42700.0,4494700.0,0.0057610241820768016,-209176.45000001974,-0.046538467528426754,-23.423032282675127,120.72101989150093,45,17,19,2,4188800.0,0.9319420650988942,0.9942389758179232,0.05250187506696668
PRJ-2019-118,Portland Unified School District - HVAC Modernization,4569000.0,JE Dunn,2455900.0,1068000.0,1091600.0,264100.0,4879600.0,2065276.5400000392,1945362.2300000002,4010638.7700000396,589500.0,93600.0,5158500.0,-0.06797986430291103,-207838.7700000396,-0.0402905437627294,-15.905511625064573,82.15002153558055,54,19,20,0,4536200.0,0.8793641562469711,1.067979864302911,0.052846205059920104
PRJ-2019-110,Las Vegas Senior Living - HVAC Upgrade,3872000.0,DPR Construction,1835700.0,686400.0,1043700.0,177800.0,3743600.0,1204162.2700000014,1845981.5799999991,3050143.8500000006,210200.0,83200.0,4082200.0,0.033161157024793386,-189443.85000000056,-0.04640729263632369,-34.4031012692705,168.93671037296025,24,5,14,1,3847000.0,0.9423840086228015,0.9668388429752066,0.05667958100157842
PRJ-2021-268,Raleigh Unified School District - HVAC Modernization,2795000.0,Mortenson,1354100.0,556300.0,580500.0,170000.0,2660900.0,1152328.1,1150377.0300000007,2302705.130000001,69300.0,6500.0,2864300.0,0.04797853309481215,-188905.13000000082,-0.06595158677512859,-14.9008123476848,106.79076577386314,31,6,8,1,2773700.0,0.9683692350661592,0.9520214669051879,0.05197723187537447
PRJ-2019-145,Oklahoma City Mixed-Income Housing - Climate Control,4355000.0,Skanska USA,2039500.0,697200.0,1026800.0,264700.0,4028200.0,1395032.4500000114,1927894.8800000001,3322927.3300000113,126100.0,159700.0,4481100.0,0.07504018369690013,-133327.33000001125,-0.02975325924438447,-31.599291493012437,176.51963281698224,52,8,16,1,4328500.0,0.9659458615072192,0.9249598163030999,0.0574584264085381
PRJ-2020-172,Boston Business Center - MEP Systems,4940000.0,DPR Construction,2693400.0,1089100.0,1215500.0,282800.0,5280800.0,2090659.2500000447,2046771.67,4137430.9200000446,567900.0,175200.0,5507900.0,-0.06898785425101206,-127830.92000004463,-0.023208649394514176,-22.378434320930996,87.93239096501696,54,16,21,0,4908700.0,0.8912108062964106,1.068987854251012,0.053962482439467815
PRJ-2021-303,Nashville Unified School District - HVAC Modernization,9518000.0,Mortenson,4775900.0,2013900.0,1968100.0,540700.0,9298600.0,3623177.58000001,4010053.4699999993,7633231.050000009,497500.0,711200.0,10015500.0,0.023051061147299823,-126531.0500000082,-0.012633523039289921,-24.13623442701879,99.11879785490837,65,12,22,1,9455400.0,0.9440766811442265,0.9769489388527002,0.053520592142721576
PRJ-2022-326,Kansas City Hospital - Mechanical Systems Renovation,4754000.0,Turner Construction,2653300.0,1055200.0,1011100.0,290300.0,5009900.0,1908264.8400000373,1942745.1799999997,3851010.020000037,275200.0,-111600.0,5029200.0,-0.05382835506941519,-123210.0200000368,-0.024498930247362764,-28.07956733124647,84.11155989385894,42,8,13,1,4719400.0,0.9383997454863596,1.0538283550694152,0.04864815986978931
PRJ-2020-197,Chicago Corporate Campus - HVAC Systems,2640000.0,JE Dunn,1395300.0,536100.0,562500.0,174400.0,2668300.0,1185972.4800000004,1013162.3699999999,2199134.8500000006,234600.0,-29900.0,2874600.0,-0.01071969696969699,-61434.85000000056,-0.021371616920615236,-15.002330681573827,88.98757134862896,50,15,20,0,2619700.0,0.9113267932929799,1.010719696969697,0.05360255665310866
PRJ-2021-273,Portland High School - New Construction,3323000.0,Turner Construction,1723000.0,751800.0,796900.0,221200.0,3492900.0,1091479.6599999995,1406731.1799999995,2498210.839999999,198300.0,0.0,3521300.0,-0.05112849834486899,4989.16000000108,0.0014168517308951467,-36.65237028438773,87.11508113860063,19,6,6,0,3295300.0,0.9358191576974413,1.051128498344869,0.05469245402663285
PRJ-2018-078,Baltimore High School - New Construction,8156000.0,JE Dunn,3761300.0,1498500.0,1982600.0,489500.0,7731900.0,2666462.1400000374,3762652.6999999997,6429114.840000037,784000.0,113300.0,8940000.0,0.05199852869053456,38785.159999962896,0.004338384787467886,-29.107964267672415,151.09460794127457,96,23,32,2,8107100.0,0.906834451901566,0.9480014713094654,0.054875692386963805
PRJ-2020-207,Salt Lake City Office Park - Core & Shell MEP,3989000.0,Mortenson,2036100.0,766000.0,1017400.0,268700.0,4088200.0,1076098.0899999968,1721081.43,2797179.5199999968,157800.0,0.0,4146800.0,-0.02486838806718472,63520.48000000324,0.015317951191280805,-47.14905505623511,124.68425979112271,27,6,9,1,3955900.0,0.9539645027491077,1.0248683880671847,0.053502570694087405
PRJ-2021-317,Salt Lake City Corporate Campus - HVAC Systems,3616000.0,JE Dunn,1900100.0,771700.0,968800.0,227100.0,3867700.0,736275.0499999998,1543895.1600000001,2280170.21,-8600.0,16900.0,3607400.0,-0.06960730088495581,131329.79000000004,0.03640566335865167,-61.25072101468345,100.06416483089286,28,6,7,0,3582200.0,0.9930143593724011,1.0696073008849558,0.05019845902404856
PRJ-2019-155,Cincinnati Mixed-Income Housing - Climate Control,7959000.0,Skanska USA,4255100.0,1958200.0,1995700.0,517300.0,8726300.0,2156938.790000045,3548102.4700000007,5705041.260000046,423800.0,38700.0,8382800.0,-0.0964065837416761,164758.73999995366,0.019654380397952195,-49.309327865384,81.19203707486471,33,7,13,0,7902700.0,0.9427279667891396,1.096406583741676,0.054763811048839074
PRJ-2020-217,Boston Corporate Campus - HVAC Systems,4321000.0,Skanska USA,2186300.0,868100.0,1083200.0,277500.0,4415100.0,1288425.0800000064,1779814.43,3068239.5100000063,273300.0,137600.0,4594300.0,-0.021777366350381966,165360.4899999937,0.03599253205058305,-41.06823949137783,105.02412510079483,26,4,9,0,4290100.0,0.9337875193174151,1.021777366350382,0.053224292800643516
PRJ-2021-284,Richmond Cloud Campus Phase 1 - Cooling,6507000.0,Turner Construction,2912500.0,1205600.0,1576600.0,350300.0,6045000.0,1600905.6000000208,2876719.49,4477625.090000021,90900.0,116300.0,6597900.0,0.07100046104195479,193374.90999997873,0.02930855423695096,-45.03328412017096,138.61309638354348,41,8,22,2,6462000.0,0.979402537170918,0.9289995389580452,0.05069025021570319
PRJ-2023-393,Las Vegas High School - New Construction,5279000.0,Turner Construction,2607400.0,1076400.0,1124600.0,276700.0,5085100.0,1710774.500000024,2096879.4899999993,3807653.9900000235,130600.0,0.0,5409600.0,0.036730441371471856,200646.0099999765,0.037090729443947146,-34.387723402622385,94.8048578595317,59,15,18,3,5239900.0,0.9686298432416445,0.9632695586285281,0.05817960673018447
PRJ-2022-324,Houston Colocation Facility - HVAC,5373000.0,JE Dunn,2727100.0,1143900.0,1444700.0,363200.0,5678900.0,1688642.2800000086,2406024.639999999,4094666.920000008,735200.0,143100.0,6108200.0,-0.056932812209194106,205633.07999999262,0.03366508627746188,-38.07919474900046,110.33522510708971,35,8,9,0,5333500.0,0.8731704921253397,1.056932812209194,0.053876882105910066
PRJ-2021-272,Denver Business Center - MEP Systems,3248000.0,Mortenson,1555200.0,681500.0,737500.0,165400.0,3139600.0,851626.1699999975,1425695.4200000002,2277321.5899999975,160500.0,58400.0,3408500.0,0.033374384236453225,228278.41000000248,0.06697327563444402,-45.24008680555571,109.19962142333092,23,4,9,0,3216700.0,0.9437289130115887,0.9666256157635468,0.050343712090578245
PRJ-2019-090,Tampa Senior Living - HVAC Upgrade,3276000.0,DPR Construction,1562600.0,663700.0,742200.0,184500.0,3153000.0,1183748.5800000015,1439599.8099999998,2623348.3900000015,521000.0,81100.0,3797000.0,0.03754578754578752,246951.60999999847,0.06503861206215393,-24.24493920389086,116.90519963839083,54,12,15,1,3250800.0,0.8561495917829866,0.9624542124542125,0.05523171087146604
PRJ-2020-165,Salt Lake City Senior Living - HVAC Upgrade,8448000.0,JE Dunn,4071800.0,1627700.0,2263000.0,451300.0,8413800.0,3589232.94000001,3754974.6399999997,7344207.580000009,1864100.0,-95600.0,10312100.0,0.004048295454545436,253592.4199999906,0.024591733982408104,-11.851443096419024,130.69205873318177,93,18,32,2,8392100.0,0.8138109599402643,0.9959517045454546,0.05380262779322912
PRJ-2018-074,Chicago Edge Data Center - Thermal Management,4055000.0,JE Dunn,2023900.0,903700.0,1029900.0,243900.0,4201400.0,1170156.9800000007,1749149.5900000003,2919306.570000001,399200.0,189900.0,4454200.0,-0.036103575832305834,261093.42999999877,0.05861735665214826,-42.18306339246006,93.55423149275207,54,19,24,3,4025000.0,0.9036415068923712,1.0361035758323058,0.05712611688882379
