project_id,sov_line_id,actual_labor_cost,total_hours_st,total_hours_ot,total_effective_hours,avg_hourly_rate,avg_burden_multiplier,ot_share_of_raw_hours,first_date,last_date,budget_labor_hours,budget_labor_cost,productivity_factor,key_assumptions,labor_variance,pct_overrun
PRJ-2018-003,PRJ-2018-003-SOV-04,165415.23,1764.0,104.0,1920.0,61.15695067264574,1.3976233183856475,0.055674518201284794,2018-03-08,2019-08-22,12791.0,864400.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-698984.77,-0.8086357820453494
PRJ-2018-003,PRJ-2018-003-SOV-05,145509.5400000002,1600.0,66.0,1699.0,61.02985074626866,1.3987064676616892,0.03961584633853541,2018-03-05,2019-08-15,9679.0,654100.0,0.9,Copper pricing based on current market rates,-508590.4599999998,-0.7775423635529732
PRJ-2018-003,PRJ-2018-003-SOV-06,83547.99000000006,938.0,52.0,1016.0,58.95798319327731,1.3950420168067215,0.052525252525252523,2018-06-11,2019-08-23,6484.0,438200.0,0.9,Refrigerant pricing per current market; lineset routing direct,-354652.00999999995,-0.8093382245549976
PRJ-2018-003,PRJ-2018-003-SOV-07,82587.83999999998,888.0,54.0,969.0,60.51327433628319,1.3972566371681407,0.05732484076433121,2018-06-12,2019-08-03,6141.0,415000.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-332412.16000000003,-0.800993156626506
PRJ-2018-003,PRJ-2018-003-SOV-08,65245.00999999996,754.0,42.0,817.0,56.79381443298969,1.3930927835051543,0.052763819095477386,2018-06-11,2019-08-06,5224.0,353000.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-287754.99000000005,-0.8151699433427764
PRJ-2018-003,PRJ-2018-003-SOV-09,183178.93000000023,1990.0,134.0,2191.0,59.67063492063492,1.3966269841269827,0.06308851224105462,2018-06-12,2019-08-12,3894.0,263100.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,-79921.06999999977,-0.3037668947168368
PRJ-2018-003,PRJ-2018-003-SOV-10,101720.38000000008,1122.0,66.0,1221.0,59.195035460992905,1.3950354609929065,0.05555555555555555,2018-11-06,2019-03-07,7539.0,509500.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-407779.61999999994,-0.8003525417075563
PRJ-2018-003,PRJ-2018-003-SOV-11,128815.79000000023,1446.0,78.0,1563.0,59.65217391304348,1.396413043478258,0.051181102362204724,2018-11-06,2019-08-14,3497.0,236300.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-107484.20999999977,-0.4548633516716029
PRJ-2018-003,PRJ-2018-003-SOV-12,77078.50999999998,868.0,50.0,943.0,58.927927927927925,1.3951351351351342,0.054466230936819175,2018-11-07,2019-08-06,6623.0,447600.0,1.0,Insulation by specialty sub; pricing based on current bid,-370521.49,-0.827796000893655
PRJ-2018-003,PRJ-2018-003-SOV-13,46313.85999999998,522.0,16.0,546.0,60.28030303030303,1.395757575757576,0.02973977695167286,2019-03-08,2019-05-20,4022.0,271800.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-225486.14,-0.8296031640912436
PRJ-2018-003,PRJ-2018-003-SOV-14,46849.57999999998,508.0,30.0,553.0,60.3984375,1.3953125000000004,0.055762081784386616,2019-03-11,2019-05-20,2813.0,190100.0,0.95,Startup includes 2 weeks of system commissioning support,-143250.42,-0.753552972119937
PRJ-2018-003,PRJ-2018-003-SOV-15,26443.23,320.0,10.0,335.0,56.76190476190476,1.388333333333334,0.030303030303030304,2019-03-08,2019-07-18,1966.0,132800.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-106356.77,-0.8008792921686747
PRJ-2018-004,PRJ-2018-004-SOV-01,319643.8900000002,3524.0,212.0,3842.0,59.294642857142854,1.3954910714285689,0.056745182012847964,2018-03-02,2019-09-03,10477.0,675100.0,1.0,Clear site access; no coordination delays; standard PM staffing,-355456.1099999998,-0.5265236409420824
PRJ-2018-004,PRJ-2018-004-SOV-02,124090.8700000002,1386.0,44.0,1452.0,60.81428571428572,1.3973142857142835,0.03076923076923077,2018-03-02,2019-08-31,3085.0,198700.0,1.0,Submittals prepared in-house; standard review cycles,-74609.1299999998,-0.37548631102163965
PRJ-2018-004,PRJ-2018-004-SOV-03,164601.9100000002,1688.0,146.0,1907.0,61.69626168224299,1.4001401869158852,0.07960741548527808,2018-04-25,2019-08-15,10357.0,667300.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-502698.0899999998,-0.7533314701034015
PRJ-2018-004,PRJ-2018-004-SOV-04,144902.90000000029,1584.0,114.0,1755.0,59.07,1.3948499999999981,0.06713780918727916,2018-04-25,2019-08-13,12703.0,818500.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-673597.0999999997,-0.8229653023824065
PRJ-2018-004,PRJ-2018-004-SOV-05,163800.53000000017,1798.0,104.0,1954.0,59.44493392070485,1.3963876651982359,0.054679284963196635,2018-04-26,2019-09-02,10097.0,650600.0,0.9,Copper pricing based on current market rates,-486799.46999999986,-0.7482315862280969
PRJ-2018-004,PRJ-2018-004-SOV-06,84169.06000000001,914.0,56.0,998.0,60.10683760683761,1.3970085470085463,0.0577319587628866,2018-08-08,2019-01-10,4908.0,316200.0,0.9,Refrigerant pricing per current market; lineset routing direct,-232030.94,-0.7338106894370652
PRJ-2018-004,PRJ-2018-004-SOV-07,84552.39999999998,938.0,44.0,1004.0,60.319327731092436,1.3977310924369735,0.04480651731160896,2018-08-08,2019-09-01,5093.0,328100.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-243547.60000000003,-0.7422968607131973
PRJ-2018-004,PRJ-2018-004-SOV-08,80366.70000000004,952.0,30.0,997.0,57.95,1.394333333333332,0.03054989816700611,2018-08-09,2019-08-01,5496.0,354100.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-273733.29999999993,-0.7730395368539958
PRJ-2018-004,PRJ-2018-004-SOV-09,183673.98000000019,2024.0,100.0,2174.0,60.20229007633588,1.3974809160305321,0.047080979284369114,2018-08-09,2019-08-29,1854.0,119400.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,64273.980000000185,0.5383080402010065
PRJ-2018-004,PRJ-2018-004-SOV-10,100419.82000000011,1088.0,86.0,1217.0,59.42857142857143,1.395357142857142,0.07325383304940375,2019-01-11,2019-08-05,9808.0,632000.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-531580.1799999999,-0.8411078797468353
PRJ-2018-004,PRJ-2018-004-SOV-11,140240.2700000003,1502.0,88.0,1634.0,61.010471204188484,1.398219895287956,0.055345911949685536,2019-01-11,2019-08-14,4421.0,284800.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-144559.7299999997,-0.5075833216292124
PRJ-2018-004,PRJ-2018-004-SOV-12,88863.38,962.0,60.0,1052.0,60.46280991735537,1.398595041322313,0.05870841487279843,2019-01-11,2019-08-15,5626.0,362500.0,1.0,Insulation by specialty sub; pricing based on current bid,-273636.62,-0.7548596413793104
PRJ-2018-004,PRJ-2018-004-SOV-13,43618.449999999975,448.0,40.0,508.0,61.39473684210526,1.3971929824561413,0.08196721311475409,2019-05-23,2019-08-06,4499.0,289900.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-246281.55000000002,-0.8495396688513281
PRJ-2018-004,PRJ-2018-004-SOV-14,34159.12999999999,364.0,26.0,403.0,60.5531914893617,1.3951063829787236,0.06666666666666667,2019-05-22,2019-08-20,2665.0,171700.0,0.95,Startup includes 2 weeks of system commissioning support,-137540.87,-0.8010534071054164
PRJ-2018-004,PRJ-2018-004-SOV-15,44197.43999999997,502.0,32.0,550.0,57.333333333333336,1.3933333333333335,0.0599250936329588,2019-05-23,2019-08-07,1313.0,84600.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-40402.56000000003,-0.4775716312056741
PRJ-2018-005,PRJ-2018-005-SOV-01,196186.2500000005,2120.0,130.0,2315.0,60.39219330855018,1.3965427509293682,0.057777777777777775,2018-01-05,2019-01-21,5431.0,329600.0,1.0,Clear site access; no coordination delays; standard PM staffing,-133413.7499999995,-0.4047747269417461
PRJ-2018-005,PRJ-2018-005-SOV-02,76165.85999999996,862.0,28.0,904.0,59.95909090909091,1.397636363636363,0.03146067415730337,2018-01-03,2018-04-04,2380.0,144400.0,1.0,Submittals prepared in-house; standard review cycles,-68234.14000000004,-0.47253559556786734
PRJ-2018-005,PRJ-2018-005-SOV-03,88347.17000000004,1022.0,42.0,1085.0,57.84469696969697,1.3939393939393918,0.039473684210526314,2018-02-08,2019-01-19,8688.0,527300.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-438952.82999999996,-0.8324536886023136
PRJ-2018-005,PRJ-2018-005-SOV-04,95226.40000000004,990.0,72.0,1098.0,61.86693548387097,1.4005645161290312,0.06779661016949153,2018-02-02,2019-01-06,9335.0,566500.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-471273.6,-0.8319039717563989
PRJ-2018-005,PRJ-2018-005-SOV-05,93798.71,1024.0,48.0,1096.0,61.46875,1.398593749999999,0.04477611940298507,2018-02-05,2019-02-07,6514.0,395300.0,0.9,Copper pricing based on current market rates,-301501.29,-0.7627151277510751
PRJ-2018-005,PRJ-2018-005-SOV-06,54643.779999999955,606.0,40.0,666.0,58.66025641025641,1.394102564102564,0.06191950464396285,2018-04-06,2018-07-05,4245.0,257600.0,0.9,Refrigerant pricing per current market; lineset routing direct,-202956.22000000003,-0.7878735248447206
PRJ-2018-005,PRJ-2018-005-SOV-07,49421.699999999975,508.0,40.0,568.0,61.276923076923076,1.3976923076923085,0.072992700729927,2018-04-05,2019-01-06,2772.0,168200.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-118778.30000000002,-0.7061730083234246
PRJ-2018-005,PRJ-2018-005-SOV-08,51148.86999999996,570.0,30.0,615.0,58.891891891891895,1.3954054054054061,0.05,2018-04-05,2018-07-05,3266.0,198200.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-147051.13000000003,-0.7419330474268417
PRJ-2018-005,PRJ-2018-005-SOV-09,102238.28000000013,1112.0,50.0,1187.0,61.02517985611511,1.3981294964028763,0.043029259896729774,2018-04-05,2019-02-16,1807.0,109600.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,-7361.71999999987,-0.0671689781021886
PRJ-2018-005,PRJ-2018-005-SOV-10,70343.83999999995,778.0,52.0,856.0,58.25,1.3946938775510203,0.06265060240963856,2018-07-06,2019-01-10,5039.0,305800.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-235456.16000000003,-0.7699678221059517
PRJ-2018-005,PRJ-2018-005-SOV-11,80118.35,902.0,40.0,962.0,59.58771929824562,1.3965789473684205,0.04246284501061571,2018-07-06,2018-11-05,2475.0,150200.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-70081.65,-0.4665888814913448
PRJ-2018-005,PRJ-2018-005-SOV-12,60359.169999999955,600.0,56.0,684.0,62.5921052631579,1.3992105263157897,0.08536585365853659,2018-07-06,2019-02-15,3284.0,199300.0,1.0,Insulation by specialty sub; pricing based on current bid,-138940.83000000005,-0.6971441545408934
PRJ-2018-005,PRJ-2018-005-SOV-13,24597.439999999995,242.0,18.0,269.0,64.69354838709677,1.4041935483870973,0.06923076923076923,2018-09-21,2018-11-06,1756.0,106500.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-81902.56,-0.7690381220657276
PRJ-2018-005,PRJ-2018-005-SOV-14,25351.379999999986,244.0,32.0,292.0,62.38709677419355,1.3977419354838714,0.11594202898550725,2018-09-21,2018-11-05,1800.0,109200.0,0.95,Startup includes 2 weeks of system commissioning support,-83848.62000000001,-0.7678445054945056
PRJ-2018-005,PRJ-2018-005-SOV-15,27401.149999999987,318.0,24.0,354.0,55.55,1.3902500000000007,0.07017543859649122,2018-09-21,2019-02-12,1379.0,83600.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-56198.85000000001,-0.6722350478468901
PRJ-2018-006,PRJ-2018-006-SOV-01,382588.38000000035,4264.0,208.0,4576.0,59.69174311926606,1.3962385321100863,0.046511627906976744,2018-02-19,2019-10-13,6958.0,428600.0,1.0,Clear site access; no coordination delays; standard PM staffing,-46011.619999999646,-0.10735328978068046
PRJ-2018-006,PRJ-2018-006-SOV-02,129029.7300000002,1390.0,96.0,1534.0,59.39204545454545,1.3956818181818165,0.06460296096904442,2018-02-19,2019-10-02,2767.0,170400.0,1.0,Submittals prepared in-house; standard review cycles,-41370.2699999998,-0.24278327464788615
PRJ-2018-006,PRJ-2018-006-SOV-03,164417.48000000027,1790.0,114.0,1961.0,59.8568281938326,1.396519823788545,0.059873949579831935,2018-04-16,2019-10-12,8941.0,550800.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-386382.5199999997,-0.7014933188090046
PRJ-2018-006,PRJ-2018-006-SOV-04,184260.50000000017,2058.0,104.0,2214.0,59.40996168582375,1.3957854406130252,0.04810360777058279,2018-04-16,2019-10-05,10586.0,652200.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-467939.4999999998,-0.7174785341919654
PRJ-2018-006,PRJ-2018-006-SOV-05,160643.68000000017,1740.0,98.0,1887.0,60.652272727272724,1.3975454545454524,0.05331882480957562,2018-04-17,2019-10-12,9122.0,562000.0,0.9,Copper pricing based on current market rates,-401356.31999999983,-0.7141571530249108
PRJ-2018-006,PRJ-2018-006-SOV-06,76469.07999999997,858.0,28.0,900.0,60.728971962616825,1.3977570093457936,0.03160270880361174,2018-08-03,2019-10-09,5914.0,364300.0,0.9,Refrigerant pricing per current market; lineset routing direct,-287830.92000000004,-0.7900931100741149
PRJ-2018-006,PRJ-2018-006-SOV-07,91473.42000000006,1014.0,52.0,1092.0,59.45384615384615,1.395076923076921,0.04878048780487805,2018-08-06,2019-10-17,6159.0,379400.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-287926.57999999996,-0.7588997891407484
PRJ-2018-006,PRJ-2018-006-SOV-08,70109.49999999997,800.0,30.0,845.0,59.71,1.3967000000000005,0.03614457831325301,2018-08-03,2019-10-04,4513.0,278000.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-207890.50000000003,-0.7478075539568346
PRJ-2018-006,PRJ-2018-006-SOV-09,191144.51000000013,2022.0,142.0,2235.0,61.16796875,1.3991015624999998,0.06561922365988909,2018-08-03,2019-10-12,2135.0,131500.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,59644.510000000126,0.4535704182509515
PRJ-2018-006,PRJ-2018-006-SOV-10,105875.07000000007,1166.0,64.0,1262.0,59.726351351351354,1.3970945945945925,0.05203252032520325,2019-01-17,2019-10-11,6191.0,381400.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-275524.92999999993,-0.7224041164132143
PRJ-2018-006,PRJ-2018-006-SOV-11,154522.7700000002,1754.0,98.0,1901.0,57.88963963963964,1.3936936936936928,0.052915766738660906,2019-01-17,2019-10-11,4084.0,251600.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-97077.2299999998,-0.38583954689984024
PRJ-2018-006,PRJ-2018-006-SOV-12,100153.81000000013,1078.0,58.0,1165.0,60.96715328467153,1.3973722627737208,0.051056338028169015,2019-01-17,2019-06-03,6250.0,385000.0,1.0,Insulation by specialty sub; pricing based on current bid,-284846.1899999999,-0.7398602337662334
PRJ-2018-006,PRJ-2018-006-SOV-13,39625.059999999976,444.0,24.0,480.0,59.464285714285715,1.3939285714285723,0.05128205128205128,2019-06-05,2019-08-26,2552.0,157200.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-117574.94000000003,-0.7479321882951656
PRJ-2018-006,PRJ-2018-006-SOV-14,40320.10999999997,424.0,22.0,457.0,62.607142857142854,1.4014285714285717,0.04932735426008968,2019-06-05,2019-09-26,2540.0,156400.0,0.95,Startup includes 2 weeks of system commissioning support,-116079.89000000003,-0.7421987851662406
PRJ-2018-006,PRJ-2018-006-SOV-15,44252.81999999996,496.0,28.0,538.0,58.37096774193548,1.393387096774194,0.05343511450381679,2019-06-05,2019-09-23,1110.0,68300.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-24047.180000000037,-0.3520816983894588
PRJ-2018-007,PRJ-2018-007-SOV-01,204866.31000000035,2314.0,114.0,2485.0,58.91126279863481,1.3958703071672356,0.04695222405271829,2018-04-02,2019-03-03,16861.0,1096200.0,1.0,Clear site access; no coordination delays; standard PM staffing,-891333.6899999997,-0.813112287903667
PRJ-2018-007,PRJ-2018-007-SOV-02,81000.42999999996,864.0,34.0,915.0,63.39090909090909,1.4016363636363625,0.0378619153674833,2018-04-03,2019-03-02,7166.0,465900.0,1.0,Submittals prepared in-house; standard review cycles,-384899.57000000007,-0.826142026185877
PRJ-2018-007,PRJ-2018-007-SOV-03,114751.14000000017,1228.0,64.0,1324.0,61.785714285714285,1.3996753246753224,0.04953560371517028,2018-05-02,2019-02-14,13232.0,860300.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-745548.8599999999,-0.8666149715215621
PRJ-2018-007,PRJ-2018-007-SOV-04,105473.35000000006,1152.0,60.0,1242.0,60.373333333333335,1.397799999999998,0.04950495049504951,2018-05-02,2019-02-25,21295.0,1384500.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-1279026.65,-0.9238184543156374
PRJ-2018-007,PRJ-2018-007-SOV-05,92074.28000000007,1000.0,58.0,1087.0,60.32283464566929,1.3968503937007863,0.054820415879017016,2018-05-04,2019-02-23,18607.0,1209700.0,0.9,Copper pricing based on current market rates,-1117625.72,-0.9238866826485905
PRJ-2018-007,PRJ-2018-007-SOV-06,43623.44999999996,480.0,20.0,510.0,60.69672131147541,1.3973770491803281,0.04,2018-07-04,2018-10-01,11103.0,721800.0,0.9,Refrigerant pricing per current market; lineset routing direct,-678176.55,-0.9395629675810474
PRJ-2018-007,PRJ-2018-007-SOV-07,45719.75999999998,546.0,30.0,591.0,55.60144927536232,1.3914492753623187,0.052083333333333336,2018-07-03,2019-02-09,6229.0,404900.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-359180.24,-0.8870838231662138
